Title;;;Keywords;;;Abstract;;;Type
The Comparison of Multi-Dimensioned Distributions of Economic Status;;;Multi-Dimensioned indicators Issues Several dimensions;;;The literature on inequality measurement has been largely concerned with single-dimensioned indicators. This paper explores some of the issues which arise when there are several dimensions to inequality, and these are not readily reduced to a single index, concentrating particularly on the two-dimensioned case. We make use of results on multi-variate stochastic dominance in portfolio theory, extending these and applying them to the measurement of inequality. The use of the dominance conditions is illustrated by an application to the international distribution of income and life expectancy.;;;SC
Nonparametric estimation of copula-based measures of multivariate association from contingency tables;;;Spearman's rho Kendall's taucopula density aggregated observations ordinal observations checkerboard copula standard extension copula;;;Nonparametric estimation of copula-based measures of multivariate association in a continuous random vector X=(X1, …, Xd) is usually based on complete continuous data. In many practical applications, however, these types of data are not readily available; instead aggregated ordinal observations are given, for example, ordinal ratings based on a latent continuous scale. This article introduces a purely nonparametric and data-driven estimator of the unknown copula density and the corresponding copula based on multivariate contingency tables. Estimators for multivariate Spearman's rho and Kendall's tau are based thereon. The properties of these estimators in samples of medium and large size are evaluated in a simulation study. An increasing bias can be observed along with an increasing degree of association between the components. As it is to be expected, the bias is severely influenced by the amount of information available. Additionally, the influence of sample size is only marginal. We further give an empirical illustration based on daily returns of five German stocks.;;;SC
Multidimensional Poverty and Material Deprivation with Discrete Data;;;Multidimensional poverty Ordinal variables Material Deprivation;;;We propose a characterization of a popular index of multidimensional poverty which, as a special case, generates a measure of material deprivation. This index is the weighted sum of the functioning failures. The important feature of the variables that may be relevant for poverty assessments is that they are discrete in nature. Thus, poverty measures based on continuous variables are not suitable in this setting and the assumption of a discrete domain is mandatory. We apply the measure to European Union member states where the concept of material deprivation was initiated and illustrate how its recommendations differ from those obtained from poverty measures based exclusively on income considerations.;;;SC
The Measurement of Multidimensional Poverty;;;Measurement Multidimensional Poverty Consumption expenditures;;;Many authors have insisted on the necessity of defining poverty as a multidimensional concept rather than relying on income or consumption expenditures per capita. Yet, not much has actually been done to include the various dimensions of deprivation into the practical definition and measurement of poverty. Existing attempts along that direction consist of aggregating various attributes into a single index through some arbitrary function and defining a poverty line and associated poverty measures on the basis of that index. This is merely redefining more generally the concept of poverty, which then essentially remains a one dimensional concept. The present paper suggests that an alternative way to take into account the multi-dimensionality of poverty is to specify a poverty line for each dimension of poverty and to consider that a person is poor if he/she falls below at least one of these various lines. The paper then explores how to combine these various poverty lines and associated one-dimensional gaps into multidimensional poverty measures. An application of these measures to the rural population in Brazil is also given with poverty defined on income and education.;;;SC
Copula-based measurement of dependence between dimensions of well-being;;;Dependence multidimensional measures Social welfare;;;Most multidimensional measures of social welfare first aggregate the outcomes across the individuals dimension by dimension and then, in the second step, aggregate the resulting summary statistics across the dimensions. This approach is blind to the dependence between dimensions of well-being, that is, the extent to which the positions of the individuals in the different dimensions of well-being are aligned. To quantify what lies behind this blind spot, this article introduces a copula-based incomplete ordering of dependence and two classes of consistent dependence measures. The importance of allowing for dependence in rankings of social welfare is illustrated with a Russian data set between 1995 and 2005.;;;SC
Maximum likelihood estimation of mixed C-vines with application to exchange rates;;;copulas C-vine maximum likelihood estimation pair-copula construction US-exchange rates;;;Multivariate copulas are commonly used in economics, finance and risk management. They allow for very flexible dependency structures, even though they are applied to transformed financial data after marginal time dependencies are removed. This is necessary to facilitate statistical parameter estimation. In this paper we consider a very flexible class of mixed C-vines, which allows the variables to be ordered according to their influence. Vines are built from bivariate copulas only and the term ‘mixed’ refers to allowing the pair-copula family to be chosen individually for each term. In addition there are many C-vine structure specifications possible and therefore we propose a novel data driven sequential selection procedure, which selects both the C-vine structure and its attached pair-copula families with parameters. After the model selection maximum likelihood (ML) estimation of the parameters is facilitated using the sequential estimates as starting values. An extensive simulation study shows a satisfactory performance of ML estimates in small samples. Finally an application involving US-exchange rates demonstrates the need for mixed C-vine models.;;;SC
A new class of composite indicators for measuring well-being at the local level: An application to the Equitable and Sustainable Well-being (BES) of the Italian Provinces;;;Composite indicators Aggregation procedure Equitable and Sustainable Well-being Local well-being;;;The aim of this paper is to propose a class of composite indicators for measuring well-being at the local level, which takes into account the variability between and within the local units. Although we believe that well-being is a multidimensional concept and cannot be reduced to a single measure, we also stress the importance of aggregating the information of several well-being indicators into a reduced number of composite indicators, one for each well-being domain, which play a crucial role in policymaking and benchmarking.;;;SC
Weights in Multidimensional Indices of Wellbeing: An Overview;;;Composite indicator Multidimensional wellbeing index Weights;;;Multidimensional indices are becoming increasingly important instruments to assess the wellbeing of societies. They move beyond the focus on a single indicator and yet they are easy to present and communicate. A crucial step in the construction of a multidimensional index of wellbeing is the selection of the relative weights for the different dimensions. The aim of this article is to study the role of these weights and to critically survey eight different approaches to set them. We categorize the approaches in three classes: data-driven, normative, and hybrid weighting, and compare their respective advantages and drawbacks.;;;SC
What If We Voted on the Weights of a Multidimensional Well-Being Index? An Illustration with Flemish Data;;;Multidimensional Well-Being Index Widespread consensus;;;There is a widespread consensus that well-being is a multidimensional notion. To quantify multidimensional well-being, information on the relative weights of the different dimensions is essential. There is, however, considerable disagreement in the literature on the most appropriate weighting scheme to use. Making use of a recent data set for Flanders, we calculate and compare various common weighting schemes, which are uniformly applied to all individuals. We find that a policymaker would identify different groups of individuals as being worst off depending on the scheme that is chosen. In order to compare and evaluate the weighting schemes, we simulate the support each scheme would get in a voting procedure. Weighting schemes that obtain higher support reflect better the priorities of the respondents and suffer less from the problem of paternalism that is inherent to any common weighting scheme.;;;SC
A multivariate Bahadur–Kiefer representation for the empirical copula process;;;Empirical process Limit law Strong approximations ;;;We provide a multivariate extension of the Kiefer (1970) strong limit law for the uniform Bahadur–Kiefer reperesentation. This allows us to derive optimal rates for the strong approximation of empirical copula processes by sequences of Gaussian processes. We also provide a hill characterization of empirical copulas in a general framework. Bibliography: 30 titles.;;;SC
MEASURING MULTIDIMENSIONAL POVERTY: AN EMPIRICAL COMPARISON OF VARIOUS APPROACHES;;;Proverty  Systematic comparision Multidimensional analysis Theory fuzzy;;;This paper makes a systematic comparison of four approaches to multidimensional poverty analysis based respectively on the theory of fuzzy sets, information theory, efficiency analysis and axiomatic derivations of poverty indices. The database was the 1995 Israeli Census that provided information on the ownership of various durable goods. There appears to be a fair degree of agreement between the various multidimensional poverty indices concerning the identification of the poor households. The four approaches have also shown that poverty decreases with the schooling level of the head of the household, first decreases and then increases with his/her age and with the size of the household. Poverty is higher when the head of the household is single and lower when he/she is married, lowest when the head of the household is Jewish and highest when he/she is Muslim. Poverty is also higher among households whose head immigrated in recent years, does not work or lives in Jerusalem. These observations were made on the basis of logit regressions. This impact on poverty of many of the variables is not very different from the one that is observed when poverty measurement is based only on the income or the total expenditures of the households.;;;SC
On the Methodological Framework of Composite Indices: A Review of the Issues of Weighting, Aggregation, and Robustness;;;Methodological Framework straightforward task Research areas;;;In recent times, composite indicators have gained astounding popularity in a wide variety of research areas. Their adoption by global institutions has further captured the attention of the media and policymakers around the globe, and their number of applications has surged ever since. This increase in their popularity has solicited a plethora of methodological contributions in response to the substantial criticism surrounding their underlying framework. In this paper, we put composite indicators under the spotlight, examining the wide variety of methodological approaches in existence. In this way, we offer a more recent outlook on the advances made in this field over the past years. Despite the large sequence of steps required in the construction of composite indicators, we focus particularly on two of them, namely weighting and aggregation. We find that these are where the paramount criticism appears and where a promising future lies. Finally, we review the last step of the robustness analysis that follows their construction, to which less attention has been paid despite its importance. Overall, this study aims to provide both academics and practitioners in the field of composite indices with a synopsis of the choices available alongside their recent advances.;;;SC
A Hybrid Enhanced Scatter Search—Composite I-Distance Indicator (eSS-CIDI) Optimization Approach for Determining Weights Within Composite Indicators;;;Hybrid Enhanced Public opinion Policy development methodologically;;;Considering the impact composite indicators can have on public opinion and policy development, the need for their frameworks to be methodologically sound and statistically verified is growing daily. One of the issues in the process of composite indicator construction which has generated much debate is how to choose the weighting scheme. To address this slippery step, we propose an optimization approach based on the enhanced Scatter Search (eSS) metaheuristic. In this paper, the eSS algorithm is applied to obtain a weighting scheme which will increase the stability of the composite indicator. The objective function is based on the relative contributions of indicators, while the problem constraints rely on the bootstrap Composite I-distance Indicator (CIDI) approach which is also proposed herein. The eSS-CIDI approach combines the exploration capability of eSS and the data-driven constraints devised from the bootstrap CIDI. This novel weighting approach was tested on two acknowledged composite indicators: the Academic Ranking of World Universities (ARWU) and the Networked Readiness Index (NRI). Results indicate that the composite indicators created using the eSS-CIDI weighting approach are more stable than the official ones.;;;SC
Multi-level text document similarity estimation and its application for plagiarism detection;;;Text documents Corpus Deep learning Machine method;;;Nowadays, rapid access to the text data on the internet, and simplicity in modifying them, made plagiarism a serious problem. Similarity detection is an approach to identifying plagiarism between text documents. In this paper, we present a three-step method based on the vector representation of words for similarity detection of Persian text documents. Words represent vectors in N-dimensional space and similarity between the source and suspicious documents describe as cosine distance between these vectors. Results on the PAN2016 corpus, show that the proposed method with 00:01:27(h:m:s) run-time for each pair of documents, has a plagdet of 94.37%. It outperforms the support vector machine method and deep learning method by 4.33% and 3.6% respectively. The result of the proposed method on PAN2015 has 00:01:21(h:m:s) run-time and plagdet of 96.94%, which outperforms 9.94% compared to the graph-based method in plagiarism detection of Persian text documents.;;;C
Similarity versus relatedness: A novel approach in extractive Persian document summarisation;;;Clustering coherency extractive summarisation Persian document summarisation relatedness semantic relations similarity;;;Automatic text summarisation is the process of creating a summary from one or more documents by eliminating the details and preserving the worthwhile information. This article presents a single/multi-document summariser using a novel clustering method for creating summaries. First, a feature selection phase is employed. Then, FarsNet, the Persian WordNet, is utilised to extract the semantic information of words. Therefore, the input sentences are categorised into three main clusters: similarity, relatedness and coherency. Each similarity cluster contains similar sentences to its core, while each relatedness cluster contains sentences that are related (but not similar) to its core. The coherency clusters show the sentences that should be kept together to preserve the coherency of the summary. Finally, the centroid of each similarity cluster having the most feature score is added to an empty summary. The summary is enlarged by including related sentences from relatedness clusters and excluding similar sentences to its content iteratively. Coherency clusters are applied to the created summary in the last step. The proposed method has been compared with three known existing text summarisation systems and techniques for the Persian language: FarsiSum, Parsumist and Ijaz. Our proposed method leads to improvement in experimental results on different measurements including precision, recall, F-measure, ROUGE-N and ROUGE-L.;;;C
A similarity-based method for retrieving documents from the SCI/SSCI database;;;Information retrieval similarity neural network;;;As more and more documents become electronically available, finding documents in large databases that fit users' needs is becoming increasingly important. In the past, the document search problem was dealt with using the database query approach or the text-based search approach. In this paper, we investigate this problem, focusing on the SCI/SSCI databases from ISI. Specifically, we design our search methodology based on the four fields commonly seen in a scientific research document: abstract, title, keywords, and reference list. Of these four, only the abstract field can be viewed as a normal text, while the other three have their own characteristics to differentiate them from texts. Therefore, we first develop a method to compute the similarity value for each field. Our next problem is combining the four similarity values into a final value. One approach is to assign weights to each and compute the weighted sum. We have not adopted this simple weighting method, however, because it is difficult to determine appropriate weights. Instead, we use the back propagation neural network to combine them. Finally, extensive experiments have been carried out using real documents drawn from TKDE journal, and the results indicate that in all situations our method has a much higher accuracy than the traditional text-based search approach.;;;C
Plagiarism Meets Paraphrasing: Insights for the Next Generation in Automatic Plagiarism Detection;;;Linguistic phenomena Plagiarism cases detection Frameworks ;;;Although paraphrasing is the linguistic mechanism underlying many plagiarism cases, little attention has been paid to its analysis in the framework of automatic plagiarism detection. Therefore, state-of-the-art plagiarism detectors find it difficult to detect cases of paraphrase plagiarism. In this article, we analyze the relationship between paraphrasing and plagiarism, paying special attention to which paraphrase phenomena underlie acts of plagiarism and which of them are detected by plagiarism detection systems. With this aim in mind, we created the P4P corpus, a new resource that uses a paraphrase typology to annotate a subset of the PAN-PC-10 corpus for automatic plagiarism detection. The results of the Second International Competition on Plagiarism Detection were analyzed in the light of this annotation.;;;C
Paraphrase type identification for plagiarism detection using contexts and word embeddings;;;Plagiarism Digital information Paraphrasin mechanisms Insertion Deletion;;;Paraphrase types have been proposed by researchers as the paraphrasing mechanisms underlying acts of plagiarism. Synonymous substitution, word reordering and insertion/deletion have been identified as some of the common paraphrasing strategies used by plagiarists. However, similarity reports generated by most plagiarism detection systems provide a similarity score and produce matching sections of text with their possible sources. In this research we propose methods to identify two important paraphrase types – synonymous substitution and word reordering in paraphrased, plagiarised sentence pairs. We propose a three staged approach that uses context matching and pretrained word embeddings for identifying synonymous substitution and word reordering. Our proposed approach indicates that the use of Smith Waterman Algorithm for Plagiarism Detection and ConceptNet Numberbatch pretrained word embeddings produces the best performance in terms of F1F1 scores. This research can be used to complement similarity reports generated by currently available plagiarism detection systems by incorporating methods to identify paraphrase types for plagiarism detection.;;;C
A Survey of Text Alignment Visualization;;;Task analysis Data visualization Visualization Heuristic algorithms Tools Bioinformatics Dynamic programming;;;Text alignment is one of the fundamental techniques text-related domains like natural language processing, computational linguistics, and digital humanities. It compares two or more texts with each other aiming to find similar textual patterns, or to estimate in general how different or similar the texts are. Visualizing alignment results is an essential task, because it helps researchers getting a comprehensive overview of individual findings and the overall pattern structure. Different approaches have been developed to visualize and help making sense of these patterns depending on text size, alignment methods, and, most importantly, the underlying research tasks demanding for alignment. On the basis of those tasks, we reviewed existing text alignment visualization approaches, and discuss their advantages and drawbacks. We finally derive design implications and shed light on related future challenges.;;;C
A survey of word embeddings based on deep learning;;;Neural networks-based models Embeddings based Deep learning;;;The representational basis for downstream natural language processing tasks is word embeddings, which capture lexical semantics in numerical form to handle the abstract semantic concept of words. Recently, the word embeddings approaches, represented by deep learning, has attracted extensive attention and widely used in many tasks, such as text classification, knowledge mining, question-answering, smart Internet of Things systems and so on. These neural networks-based models are based on the distributed hypothesis while the semantic association between words can be efficiently calculated in low-dimensional space. However, the expressed semantics of most models are constrained by the context distribution of each word in the corpus while the logic and common knowledge are not better utilized. Therefore, how to use the massive multi-source data to better represent natural language and world knowledge still need to be explored. In this paper, we introduce the recent advances of neural networks-based word embeddings with their technical features, summarizing the key challenges and existing solutions, and further give a future outlook on the research and application.;;;C
Study on text representation method based on deep learning and topic information;;;Topic-based CBOW Baseline models Deep learning Topic information;;;Deep learning provides a new modeling method for natural language processing. In recent years, it has been applied in language model, text classification, machine translation, sentiment analysis, question and answer system, word distributed representation, etc., and a series of theoretical research results have been obtained. For the text representation task, this paper studies the strategy of fusing global and local context information, and proposes a word representation model called Topic-based CBOW that integrates deep neural network, topic information and word order information. Then, based on the word distributed representation obtained by Topic-based CBOW, a short text representation method with TF–IWF-weighted pooling is proposed. Finally, the performance of the Topic-based CBOW model and the short text representation are compared with the baseline models, and it is found that the proposed method improves the quality of the word distributed representation to some extent by introducing the topic vector and retaining word order information, and text representation also performs well in text classification tasks.;;;C
Word n-gram attention models for sentence similarity and inference;;;Attention models Deep learning Natural language understanding Natural Language Inference Semantic textual similarity;;;Semantic Textual Similarity and Natural Language Inference are two popular natural language understanding tasks used to benchmark sentence representation models where two sentences are paired. In such tasks sentences are represented as bag of words, sequences, trees or convolutions, but the attention model is based on word pairs. In this article we introduce the use of word n-grams in the attention model. Our results on five datasets show an error reduction of up to 41% with respect to the word-based attention model. The improvements are especially relevant with low data regimes and, in the case of natural language inference, on the recently released hard subset of Natural Language Inference datasets.;;;C
The N-Grams Based Text Similarity Detection Approach Using Self-Organizing Maps and Similarity Measures;;;Self-organizing maps Text mining Text similarity measures N-grams Frequency matrix;;;In the paper the word-level n-grams based approach is proposed to find similarity between texts. The approach is a combination of two separate and independent techniques: self-organizing map (SOM) and text similarity measures. SOM’s uniqueness is that the obtained results of data clustering, as well as dimensionality reduction, are presented in a visual form. The four measures have been evaluated: cosine, dice, extended Jaccard’s, and overlap. First of all, texts have to be converted to numerical expression. For that purpose, the text has been split into the word-level n-grams and after that, the bag of n-grams has been created. The n-grams’ frequencies are calculated and the frequency matrix of dataset is formed. Various filters are used to create a bag of n-grams: stemming algorithms, number and punctuation removers, stop words, etc. All experimental investigation has been made using a corpus of plagiarized short answers dataset.;;;C
Framework for syntactic string similarity measures;;;Similarity measure String similarity Information retrieval Text processing;;;Similarity measure is an essential component of information retrieval, document clustering, text summarization, and question answering, among others. In this paper, we introduce a general framework of syntactic similarity measures for matching short text. We thoroughly analyze the measures by dividing them into three components: character-level similarity, string segmentation, and matching technique. Soft variants of the measures are also introduced. With the help of two existing toolkits (SecondString and SimMetric), we provide an open-source Java toolkit of the proposed framework, which integrates the individual components together so that completely new combinations can be created. Experimental results reveal that the performance of the similarity measures depends on the type of the dataset. For well-maintained dataset, using a token-level measure is important but the basic (crisp) variant is usually enough. For uncontrolled dataset where typing errors are expected, the soft variants of the token-level measures are necessary. Among all tested measures, a soft token-level measure that combines set matching and q-grams at the character level perform best. A gap between human perception and syntactic measures still remains due to lacking semantic analysis.;;;C
Methods for identifying versioned and plagiarized documents;;;Plagiarized documents Greatly ismpliefies Fingerprinting technique;;;documents and mirroring of documents in multiple locations, and greatly simplifies the task of plagiarizing the work of others. We evaluate two families of methods for searching a collection to find documents that are coderivative, that is, are versions or plagiarisms of each other. The first, the ranking family, uses information retrieval techniques; extending this family, we propose the identity measure, which is specifically designed for identification of coderivative documents. The second, the fingerprinting family, uses hashing to generate a compact document description, which can then be compared to the fingerprints of the documents in the collection. We introduce a new method for evaluating the effectiveness of these techniques, and demonstrate it in practice. Using experiments on two collections, we demonstrate that the identity measure and the best fingerprinting technique are both able to accurately identify coderivative documents. However, for fingerprinting parameters must be carefully chosen, and even so the identity measure is clearly superior.;;;C
Automatic plagiarism detection in obfuscated text;;;Plagiarism education research publishing  support vector machine classifier;;;Plagiarism is a serious problem in education, research, publishing and other fields. Automatic plagiarism detection systems are crucial for ensuring the integrity and genuineness of intellectual work. There are different types of plagiarism, such as copy–paste, obfuscation and translation. In particular, obfuscated text is one of the hardest types of plagiarism to detect. In this paper, we propose an automatic plagiarism detection system for obfuscated text based on a support vector machine classifier that exploits a set of lexical, syntactic and semantic features. We evaluated the performance of the proposed system on benchmark English and Arabic corpora made available by the PAN Workshop series: PAN 2012, PAN 2013, PAN 2014 and PAN@FIRE2015. We also compared the performance of our system to the performances of other systems that participated in the PAN competitions. The obtained results show that our system had the best performance in terms of the F-measure on the PAN 2012 and on the PAN@FIRE2015 obfuscated sub-corpora, was among the top four on the PAN 2013 corpus and was among the top two on the PAN 2014 corpus.;;;C
A hybrid approach for measuring semantic similarity based on IC-weighted path distance in WordNet;;;Semantic similarity WordNet Natural lenguage processing;;;As a valuable tool for text understanding, semantic similarity measurement enables discriminative semantic-based applications in the fields of natural language processing, information retrieval, computational linguistics and artificial intelligence. Most of the existing studies have used structured taxonomies such as WordNet to explore the lexical semantic relationship, however, the improvement of computation accuracy is still a challenge for them. To address this problem, in this paper, we propose a hybrid WordNet-based approach CSSM-ICSP to measuring concept semantic similarity, which leverage the information content(IC) of concepts to weight the shortest path distance between concepts. To improve the performance of IC computation, we also develop a novel model of the intrinsic IC of concepts, where a variety of semantic properties involved in the structure of WordNet are taken into consideration. In addition, we summarize and classify the technical characteristics of previous WordNet-based approaches, as well as evaluate our approach against these approaches on various benchmarks. The experimental results of the proposed approaches are more correlated with human judgment of similarity in term of the correlation coefficient, which indicates that our IC model and similarity detection approach are comparable or even better for semantic similarity measurement as compared to others.;;;C
Using word semantic concepts for plagiarism detection in text documents;;;Plagiarism detection Semantic concepts Experiments Conducted ;;;Plagiarism is a common problem in the modern age. With the advance of Internet, it is more and more convenient to access other people’s writings or publications. When someone uses the content of a text in an undesirable way, plagiarism may occur. Plagiarism infringes the intellectual property rights, so it is a serious problem nowadays. However, detecting plagiarism effectively is a challenging work. Traditional methods, like vector space model or bag-of-words, are short of providing a good solution due to the incapability of handling the semantics of words satisfactorily. In this paper, we propose a new method for plagiarism detection. We use Word2vec to transform the words into word vectors which are able to reveal the semantic relationship among different words. Through word vectors, words are clustered into concepts. Then documents and their paragraphs are represented in terms of concepts, and plagiarism detection can be done more effectively. A number of experiments are conducted to demonstrate the good performance of our proposed method.;;;C
Paragraph-based representation of texts: A complex networks approach;;;Network science Complex networks Language networks Document classification Text networks;;;An interesting model to represent texts as a graph (also called network) is the word adjacency (co-occurrence) representation, which is known to capture mainly syntactical features of texts. In this study, we propose a novel network model, which is based on the similarity between the content of the paragraphs of the text. By considering this representation, we characterized the networks with respect to measurements developed in the network science area. We characterized these measurements according to their properties regarding their ability to discriminate between real and shuffled texts, and to capture information regarding the content similarity of chunks of text. In order to compare the results with a more sophisticated approach, we employed a methodology based on word2vec. When comparing real and shuffled texts, the results revealed that real texts tend to have a more well-defined community structure. This characteristic can be related to the organization of subjects in real texts. The network-based measurements that were found to be able to discriminate real from shuffled texts were used as features in a classifier. As a result, the obtained accuracy was 98.72%. In order to compare with a different methodology, we used doc2vec-based features in the classifier, yielding an accuracy rate of 70.8%. The proposed network-based features were employed to analyze the Voynich manuscript, which was found to be compatible with real texts according to the considered characteristics.;;;C
Motion control of virtual reality based on an inertia-based sensing mechanism and a novel approach to redirected walking;;;Motion control Virtual reality sistem Inertia-based sensing mechanism;;;This research presents a motion control algorithm for constructing a portable virtual reality system, which can operate in any indoor or outdoor open space without the need for support from any pre-installed infrastructure. The real head and foot motions continuously measured by inertial sensors during natural walking are used as a part of the inputs to the algorithm to control the virtual walking motions of the user. In conjunction with such control, a novel approach to redirected walking is incorporated in the algorithm to continuously adjust the rotation of the virtual environment to redirect the user away from the boundary (i.e., walls and objects) of the real environment. Such an approach, namely the relative approach, adopts the directions and distances of the boundary relative to the user (i.e., the relative local information) instead of the absolute positions and orientations of the user for performing redirection. A ranging sensor is used for collecting the relative local information. The effectiveness of the algorithm was experimentally verified and demonstrated.;;;C
Multi-User Redirected Walking and Resetting Using Artificial Potential Fields;;;Legged locomotion Navigation Space vehicles Tracking Force Orbits;;;Head-mounted displays (HMDs) and large area position tracking systems can enable users to navigate virtual worlds through natural walking. Redirected walking (RDW) imperceptibly steers immersed users away from physical world obstacles allowing them to explore unbounded virtual worlds while walking in limited physical space. In cases of imminent collisions, resetting techniques can reorient them into open space. This work introduces categorically new RDW and resetting algorithms based on the use of artificial potential fields that “push” users away from obstacles and other users. Data from human subject experiments indicate that these methods reduce potential single-user resets by 66% and increase the average distance between resets by 86% compared to previous techniques. A live multi-user study demonstrates the viability of the algorithm with up to 3 concurrent users, and simulation results indicate that the algorithm scales efficiently up to at least 8 users and is effective with larger groups.;;;C
Performance of Redirected Walking Algorithms in a Constrained Virtual World;;;Rendering (computer graphics) Tracking Algorithm comparison Virtual environments;;;Redirected walking algorithms imperceptibly rotate a virtual scene about users of immersive virtual environment systems in order to guide them away from tracking area boundaries. Ideally, these distortions permit users to explore large unbounded virtual worlds while walking naturally within a physically limited space. Many potential virtual worlds are composed of corridors, passageways, or aisles. Assuming users are not expected to walk through walls or other objects within the virtual world, these constrained worlds limit the directions of travel and as well as the number of opportunities to change direction. The resulting differences in user movement characteristics within the physical world have an impact on redirected walking algorithm performance. This work presents a comparison of generalized RDW algorithm performance within a constrained virtual world. In contrast to previous studies involving unconstrained virtual worlds, experimental results indicate that the steer-to-orbit keeps users in a smaller area than the steer-to-center algorithm. Moreover, in comparison to steer-to-center, steer-to-orbit is shown to reduce potential wall contacts by over 29%.;;;C
The Torus Treadmill: realizing locomotion in VEs;;;Belts Virtual prototyping Ultrasonic variables measurement Rubber Actuators Bars Prototypes Motion detection;;;Locomotion in virtual environments (VEs) remains one of the major problems in current virtual reality research. The most intuitive way to move about the real world is to travel on foot. People often feel a better sense of distance or direction while walking than while riding in a vehicle. This article discusses the development of a locomotion device that provides a sense of walking. In terms of natural interaction, the physical exertion of walking proves essential to locomotion. The research of my colleagues and I aims to give users a sense of walking while their position remains localized in the physical world. We've developed several prototypes of interface devices for walking. From the results of our research, we concluded that an infinite surface would offer an ideal means for giving people a sense of walking. Our device, called the Torus Treadmill, uses a torus-shaped surface to realize the locomotion interface. The surface employs 12 sets of treadmills connected side-by-side and driven in a perpendicular direction. These treadmills generate an infinite surface. We measured the motion of the users' feet with magnetic sensors. The floor moves in the opposite direction of the walker, canceling the motion of each step. The walker's position remains localized in the real world by this computer-controlled motion of the floor. The walker can freely change direction. An image of the virtual space appears in a head-mounted display corresponding to the walker's virtual position.;;;C
15 Years of Research on Redirected Walking in Immersive Virtual Environments;;;Computer architecture Object recognition Virtual environments Space exploration Virtual reality Augmented reality;;;Virtual reality users wearing head-mounted displays can experience the illusion of walking in any direction for infinite distance while, in reality, they are walking a curvilinear path in physical space. This is accomplished by introducing unnoticeable rotations to the virtual environment-a technique called redirected walking. This paper gives an overview of the research that has been performed since redirected walking was first practically demonstrated 15 years ago.;;;C
Evaluation of Reorientation Techniques and Distractors for Walking in Large Virtual Environments;;;Virtual environment Humans Laboratories Turning Bicycles Loudspeakers Tracking;;;Virtual environments (VEs) that use a real-walking locomotion interface have typically been restricted in size to the area of the tracked lab space. Techniques proposed to lift this size constraint, enabling real walking in VEs that are larger than the tracked lab space, all require reorientation techniques (ROTs) in the worst-case situation-when a user is close to walking out of the tracked space. We propose a new ROT using visual and audial distractors-objects in the VE that the user focuses on while the VE rotates-and compare our method to current ROTs through three user studies. ROTs using distractors were preferred and ranked more natural by users. Our findings also suggest that improving visual realism and adding sound increased a user's feeling of presence. Users were also less aware of the rotating VE when ROTs with distractors were used.;;;C
The Design and Evaluation of a Large-Scale Real-Walking Locomotion Interface;;;Prediction algorithms Legged locomotion Navigation Vectors Virtual environments Target tracking;;;Redirected Free Exploration with Distractors (RFEDs) is a large-scale real-walking locomotion interface developed to enable people to walk freely in Virtual Environments (VEs) that are larger than the tracked space in their facility. This paper describes the RFED system in detail and reports on a user study that evaluated RFED by comparing it to Walking-in-Place (WIP) and Joystick (JS) interfaces. The RFED system is composed of two major components, redirection and distractors. This paper discusses design challenges, implementation details, and lessons learned during the development of two working RFED systems. The evaluation study examined the effect of the locomotion interface on users' cognitive performance on navigation and wayfinding measures. The results suggest that participants using RFED were significantly better at navigating and wayfinding through virtual mazes than participants using walking-in-place and joystick interfaces. Participants traveled shorter distances, made fewer wrong turns, pointed to hidden targets more accurately and more quickly, and were able to place and label targets on maps more accurately, and more accurately estimate the virtual environment size.;;;C
Estimation of Detection Thresholds for Redirected Walking Techniques;;;Cameras, Navigation Large-scale systems Displays Tracking Psychology Humans Testing;;;In immersive virtual environments (IVEs), users can control their virtual viewpoint by moving their tracked head and walking through the real world. Usually, movements in the real world are mapped one-to-one to virtual camera motions. With redirection techniques, the virtual camera is manipulated by applying gains to user motion so that the virtual world moves differently than the real world. Thus, users can walk through large-scale IVEs while physically remaining in a reasonably small workspace. In psychophysical experiments with a two-alternative forced-choice task, we have quantified how much humans can unknowingly be redirected on physical paths that are different from the visually perceived paths. We tested 12 subjects in three different experiments: (E1) discrimination between virtual and physical rotations, (E2) discrimination between virtual and physical straightforward movements, and (E3) discrimination of path curvature. In experiment E1, subjects performed rotations with different gains, and then had to choose whether the visually perceived rotation was smaller or greater than the physical rotation. In experiment E2, subjects chose whether the physical walk was shorter or longer than the visually perceived scaled travel distance. In experiment E3, subjects estimate the path curvature when walking a curved path in the real world while the visual display shows a straight path in the virtual world. Our results show that users can be turned physically about 49 percent more or 20 percent less than the perceived virtual rotation, distances can be downscaled by 14 percent and upscaled by 26 percent, and users can be redirected on a circular arc with a radius greater than 22 m while they believe that they are walking straight.;;;C
